,Minimal_Mild,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Very Severe,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Moderate --> Moderate to Severe,Moderate --> Severe,Moderate -->Very Severe,Moderate to Severe --> Severe,Moderate to Severe --> Very Severe,Severe_Very Severe
NP3LGAGL,0.006894834,2.15E-07,1.34E-10,4.74E-19,1.32E-20,1.23E-09,5.65E-18,7.18E-32,5.23E-36,0.000134038,5.62E-14,7.40E-20,6.24E-05,4.54E-10,0.000385437
NP3LGAGR,0.092636696,6.25E-05,7.24E-11,2.79E-12,3.12E-18,6.65E-08,3.60E-26,1.72E-28,4.89E-40,5.72E-11,2.46E-14,2.95E-23,0.016114145,2.82E-08,0.001177719
NP3POSTR,0.000773257,2.38E-12,3.02E-20,1.54E-22,1.08E-19,1.39E-15,7.15E-31,7.03E-29,4.28E-20,5.53E-08,1.61E-10,9.27E-09,0.017334542,0.001443078,0.12017641
NP3PRSPL,0.003109879,3.31E-08,3.17E-10,1.73E-13,3.32E-13,6.64E-08,7.43E-14,5.41E-18,2.60E-13,0.000332739,1.14E-08,2.82E-07,0.012191629,0.004449126,0.279668428
NP3PTRML,0.013983554,0.000951414,2.52E-05,4.91E-07,0.002962103,0.039930805,4.42E-05,7.34E-07,0.125870466,0.012756435,0.000268092,0.464328544,0.122229581,0.781388655,0.281052542
NP3RIGN,0.055322109,2.80E-10,7.49E-16,6.33E-15,4.77E-16,8.81E-21,4.43E-31,7.30E-23,1.31E-20,8.50E-05,0.0001457,1.22E-06,0.312429739,0.002356617,0.033737705
NP3RIGRU,0.004525683,1.11E-09,1.21E-13,4.11E-11,6.03E-14,6.09E-09,2.39E-16,1.86E-11,2.18E-11,3.17E-05,8.39E-05,6.18E-07,0.349027693,0.00384921,0.049320584
NP3RISNG,0.214927946,0.007306223,2.00E-07,6.48E-09,4.46E-19,2.46E-06,7.11E-26,1.07E-30,1.10E-70,3.31E-13,1.92E-14,1.08E-37,0.138894592,9.60E-10,3.02E-05
NP3RTCON,0.021655694,9.07E-05,0.000800366,0.000877595,0.132340114,0.003734843,0.04852048,0.04610172,0.962642391,0.746265919,0.671597556,0.34810176,0.574397738,0.460342717,0.340877831
NP3SPCH,0.001458795,2.36E-09,1.72E-14,2.72E-21,3.80E-13,1.61E-10,4.68E-22,3.86E-26,1.24E-19,2.26E-06,1.60E-10,2.00E-10,0.00909354,0.000178902,0.036371322
NP3TTAPL,2.02E-05,2.61E-10,3.35E-16,4.51E-21,1.32E-23,2.40E-09,8.28E-22,1.74E-21,7.31E-26,3.73E-06,4.69E-07,4.03E-12,0.116896652,5.64E-06,0.00011992
NP3TTAPR,0.103229045,2.42E-06,6.80E-15,4.83E-15,3.82E-19,5.52E-10,3.34E-28,1.68E-23,8.86E-28,2.62E-10,2.22E-10,1.40E-16,0.069557113,1.80E-07,0.000342628
,48.07692308,55.76923077,71.15384615,61.53846154,78.84615385,57.69230769,73.07692308,80.76923077,80.76923077,69.23076923,67.30769231,80.76923077,30.76923077,75,53.84615385
