,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Very Severe,Mild_Minimal,Very Severe_Minimal
Shannon_Entropy,0.6106155658316941,0.0276881314193773,0.2601152793160663,0.019100625949789094,0.327057848374837,0.12061897217837,0.10425691361157206,0.038629301162069384,0.537237504237398,0.0028633572636676363,0.7509724238494551,0.439591279321914,0.00011109108018652638,0.028279881703183973,0.09572432584483676
Skewness,0.015241348953745192,0.48813172442555597,0.5137742187057404,0.0003064652426981419,0.4171900776780505,0.4041669634735753,0.050943073747529426,0.010670463145194032,0.023164192671404907,0.7156493026563242,0.012735998877056278,0.27139711593985844,0.00024039823800741606,0.21637670315207308,0.0001746218720159162
Solidity,0.8118522062202189,0.1693951143621032,0.8889261950956224,0.565117966906338,0.30736543179173353,0.2934518093986239,0.7314480831087986,0.6635729373733008,0.2959055714049647,0.1478827646796729,0.8388661294654599,0.09618620357240838,0.5277378620333354,0.3412682077286264,0.3099797234713266
Standard Deviation,0.012800623964460826,0.39571055897431284,0.6632301404316132,5.000076043951266e-05,0.24194305672232472,0.46527753047273435,0.0333511775802646,0.006818195762604226,0.010652138012031973,0.5319803099954762,0.008794267958336597,0.128163383734981,5.4025332062792985e-05,0.14567222702600313,3.765926532836786e-05
brightness,0.023410716755544677,0.20573285914821174,0.8361907415027786,3.283786919756211e-05,0.2798714991093183,0.7845165194196982,0.039627760122061075,0.00663309800248724,0.022039845843178286,0.2465999739885534,0.011685313403244807,0.05798703372491512,3.6886506636069434e-05,0.222650546304952,5.19302956767498e-05
contrast,0.04959215961304403,0.9580336138682741,0.3665322092706139,0.0007428996596542886,0.7244488174991932,0.2574891241123146,0.0038439247370432037,0.04338968297052739,0.39504514322327944,0.4971673320603818,0.012773298404110223,0.7787958066354858,7.761777723138215e-06,0.28966504563595435,0.021223739312956052
correlation,0.44201512163462964,0.7726379678249985,0.3653502318688364,0.5266284912980073,0.19414729497432015,0.835736962228885,0.15016090088972514,0.8282616196978536,0.591419206337314,0.3952508631932862,0.7424306128139331,0.46502631354591384,0.3030869044750851,0.04532189735896142,0.9180218598332879
dissimilarity,0.11217136841010787,0.4866225510263972,0.3461886345543497,0.00278303383979896,0.5377150172844656,0.7214016521007014,0.010030775112301337,0.05473623174847814,0.6717356393977753,0.12946138701977547,0.06397470211975159,0.9522049489003892,2.5939031879168688e-05,0.14015954724292423,0.041397641787157984
energy,0.08017895035730141,0.03223799451109084,0.8044963879104233,0.00014410258160630956,0.8947604099357488,0.3720578391233821,0.03591841006290899,0.004635178920176963,0.21532092707296052,0.015049113151169769,0.1948287112457876,0.15799121294876428,5.571436407532132e-06,0.9967065710815132,0.00024704742710484896
gabor_energy,0.001527734250486174,0.02972891997798753,0.5351628625770113,3.530078647424811e-07,0.10429207649801045,0.6179833736799794,0.0011843157538229032,0.15772669987765084,0.03380889897366982,0.012952700015669559,0.010571853942846387,0.002777353386730041,1.5993524446074404e-07,0.19693075194032242,8.055586984739629e-07
gabor_entropy,0.006757404286995001,0.0660724842055078,0.8841604478703116,3.1662083811123247e-06,0.4474607302302456,0.9282419728218839,0.004174226614743249,0.005323817448703415,0.027614708790839857,0.039166497171670686,0.009980325902030544,0.03322410215074722,3.586427868936625e-07,0.44805029947648045,1.2040867049708806e-05
