,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Moderate,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Moderate,Severe_Moderate to Severe,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Mild_Minimal,Very Severe_Moderate,Very Severe_Moderate to Severe,Very Severe_Severe,Very Severe_Mild,Very Severe_Minimal,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Mild,Minimal_Very Severe
DATSCAN_PUTAMEN_R_ANT,0.00027377105815050575,4.7311995492357365e-05,0.010420597764536358,0.007690518554397248,0.0001328165118339679,0.00027377105815050575,0.11539755887294667,3.323630104301967e-08,0.22166637129320724,4.77585529950355e-08,4.7311995492357365e-05,0.11539755887294667,7.860163213849433e-08,0.7877317975831577,1.1843907236798968e-07,0.010420597764536358,3.323630104301967e-08,7.860163213849433e-08,0.0005518755800823094,0.015323991940906367,0.007690518554397248,0.22166637129320724,0.7877317975831577,0.0005518755800823094,0.0005229423314169428,0.0001328165118339679,4.77585529950355e-08,1.1843907236798968e-07,0.015323991940906367,0.0005229423314169428
Shannon_Entropy,0.6106155658316941,0.0276881314193773,0.2601152793160663,0.019100625949789094,0.327057848374837,0.6106155658316941,0.12061897217837,0.10425691361157206,0.038629301162069384,0.537237504237398,0.0276881314193773,0.12061897217837,0.0028633572636676363,0.7509724238494551,0.439591279321914,0.2601152793160663,0.10425691361157206,0.0028633572636676363,0.00011109108018652638,0.028279881703183973,0.019100625949789094,0.038629301162069384,0.7509724238494551,0.00011109108018652638,0.09572432584483676,0.327057848374837,0.537237504237398,0.439591279321914,0.028279881703183973,0.09572432584483676
NP3BRADY,1.2210042614030987e-07,4.353913516297232e-11,2.0518671707506057e-24,3.0953658465675965e-07,2.3242617696140927e-16,1.2210042614030987e-07,0.006584269473770236,1.9134574418719694e-36,0.00643396191276741,1.5704033179656372e-22,4.353913516297232e-11,0.006584269473770236,2.2242806970185125e-31,0.37705828763694105,8.431159248624968e-21,2.0518671707506057e-24,1.9134574418719694e-36,2.2242806970185125e-31,1.0177840364510721e-17,0.003112024904912479,3.0953658465675965e-07,0.00643396191276741,0.37705828763694105,1.0177840364510721e-17,3.845231379937935e-14,2.3242617696140927e-16,1.5704033179656372e-22,8.431159248624968e-21,0.003112024904912479,3.845231379937935e-14
NP3LGAGR,5.722364851942993e-11,2.4586067248864803e-14,6.652045603683956e-08,2.9461830535877287e-23,6.248310599577012e-05,5.722364851942993e-11,0.01611414509449778,3.599089484998699e-26,2.8161874713987498e-08,7.23987634642182e-11,2.4586067248864803e-14,0.01611414509449778,1.7176512937579703e-28,0.0011777193763948908,2.7880447096327793e-12,6.652045603683956e-08,3.599089484998699e-26,1.7176512937579703e-28,4.888456888367858e-40,0.09263669637629424,2.9461830535877287e-23,2.8161874713987498e-08,0.0011777193763948908,4.888456888367858e-40,3.12428225459961e-18,6.248310599577012e-05,7.23987634642182e-11,2.7880447096327793e-12,0.09263669637629424,3.12428225459961e-18
DATSCAN_PUTAMEN_L,0.00013305206471329585,0.000189337571667594,0.0002871559589490672,0.0002976245216062003,0.007473068992736432,0.00013305206471329585,0.21088218636369555,7.004303150919004e-10,0.0194896339726612,5.157851837212089e-07,0.000189337571667594,0.21088218636369555,3.3852630383127547e-07,0.1845430438712263,3.0403715788183174e-06,0.0002871559589490672,7.004303150919004e-10,3.3852630383127547e-07,2.1274609452735643e-05,0.6229391371060136,0.0002976245216062003,0.0194896339726612,0.1845430438712263,2.1274609452735643e-05,8.689807590549862e-06,0.007473068992736432,5.157851837212089e-07,3.0403715788183174e-06,0.6229391371060136,8.689807590549862e-06
Circularity,0.11527519688627788,0.03302889219058645,0.9907097859151001,0.759171116014324,0.857048561908668,0.11527519688627788,0.47350309172608906,0.14067445177010765,0.7548170094442912,0.345855714768344,0.03302889219058645,0.47350309172608906,0.04489382922624728,0.5149261943542537,0.18390157963990195,0.9907097859151001,0.14067445177010765,0.04489382922624728,0.7655680925087089,0.8685895705402122,0.759171116014324,0.7548170094442912,0.5149261943542537,0.7655680925087089,0.68720012545384,0.857048561908668,0.345855714768344,0.18390157963990195,0.8685895705402122,0.68720012545384
correlation,0.44201512163462964,0.7726379678249985,0.3653502318688364,0.5266284912980073,0.19414729497432015,0.44201512163462964,0.835736962228885,0.15016090088972514,0.8282616196978536,0.591419206337314,0.7726379678249985,0.835736962228885,0.3952508631932862,0.7424306128139331,0.46502631354591384,0.3653502318688364,0.15016090088972514,0.3952508631932862,0.3030869044750851,0.04532189735896142,0.5266284912980073,0.8282616196978536,0.7424306128139331,0.3030869044750851,0.9180218598332879,0.19414729497432015,0.591419206337314,0.46502631354591384,0.04532189735896142,0.9180218598332879
NP3HMOVR,4.5101095350166364e-10,7.287472026199707e-09,1.0635260579054956e-08,7.409454249003736e-10,6.678591539349502e-06,4.5101095350166364e-10,0.27274959166197293,1.72006508287487e-24,0.003357149583727128,1.4693784348691658e-12,7.287472026199707e-09,0.27274959166197293,1.3914065956298845e-19,0.0195381719761235,7.975461204666073e-14,1.0635260579054956e-08,1.72006508287487e-24,1.3914065956298845e-19,2.24316612567635e-17,0.11457834230881726,7.409454249003736e-10,0.003357149583727128,0.0195381719761235,2.24316612567635e-17,3.770857306911845e-15,6.678591539349502e-06,1.4693784348691658e-12,7.975461204666073e-14,0.11457834230881726,3.770857306911845e-15
Major axis length,0.4890635043485707,0.03434590470378042,0.10764397872372902,0.9223443457864977,0.902543860274593,0.4890635043485707,0.13649110274539616,0.05133880205545924,0.8617758763314443,0.5991138913178382,0.03434590470378042,0.13649110274539616,0.003445672646878898,0.35675336380519107,0.12012786672337833,0.10764397872372902,0.05133880205545924,0.003445672646878898,0.5275880540017468,0.46226234170845004,0.9223443457864977,0.8617758763314443,0.35675336380519107,0.5275880540017468,0.8878433622039753,0.902543860274593,0.5991138913178382,0.12012786672337833,0.46226234170845004,0.8878433622039753
NP3TTAPL,3.725003580694215e-06,4.6857728687425715e-07,2.3962854859344633e-09,4.029455733856343e-12,2.609320284404996e-10,3.725003580694215e-06,0.116896651883769,8.281438179337206e-22,5.641396448784615e-06,3.3458481408276616e-16,4.6857728687425715e-07,0.116896651883769,1.7440987233541735e-21,0.00011992047326890935,4.51045520423304e-21,2.3962854859344633e-09,8.281438179337206e-22,1.7440987233541735e-21,7.306238962747196e-26,2.0160355783924803e-05,4.029455733856343e-12,5.641396448784615e-06,0.00011992047326890935,7.306238962747196e-26,1.3247654833900814e-23,2.609320284404996e-10,3.3458481408276616e-16,4.51045520423304e-21,2.0160355783924803e-05,1.3247654833900814e-23
